fips,population,median_income,business_count
72081,27990,18844,206
72083,8826,16506,57
72085,35099,23193,290
72087,23580,21306,86
72089,17716,22585,158
72091,39310,20385,638
72093,5354,20133,24
72095,10563,21951,49
72097,72721,16788,1562
72099,37363,20331,414
72101,28659,22282,178
72103,23340,20486,159
72105,29153,20616,330
72107,21378,16869,196
72109,15927,20778,102
72111,20298,20072,154
72113,136542,18994,2330
72115,23540,20209,214
72117,15164,26771,210
72119,46838,25963,368
72121,22639,20464,181
72123,25688,20123,187
72125,31680,17862,336
72127,340903,26111,11651
72129,37552,19629,288
72131,39183,17557,484
72133,20207,22680,182
72135,66699,32456,386
72137,74854,28719,777
72139,67497,35821,587
72141,28155,17164,210
72143,35279,24778,412
72145,54182,23701,448
72147,8199,17062,111
72149,21984,22461,138
72151,30313,19972,177
72153,33988,19827,406
02063,7000,83068,82
02066,2614,70606,39
09110,977165,88190,30521
09120,326381,83147,10214
09130,175244,99742,6123
09140,451887,82939,14087
09150,95687,83119,2911
09160,112696,87971,3542
09170,571298,83617,17804
09180,280293,80330,8712
09190,620666,118930,19763
15005,50,87813,7
48269,216,59375,11
48301,96,59375,11
